Building Name,Geolocation,Opening Times,Description
Boyd Orr Building,{55.8730105 -4.2925361},0800-2100,The Boyd Orr Building is named for the Nobel laureate Lord Boyd Orr of Brechin (1880-1971) - Rector of the University from 1945 to 1947 and Chancellor of the University from 1946 to 1971.It was designed in 1964 by architects JL Gleave & Partners primarily as a general science building to act as an overflow for the overcrowded departmental buildings largely for first-year students given the projected 50% increase in students during the late 1960s and early 1970s. Sir Eric Ashby officially opened the £1.25m Boyd Orr building on 3 October 1972. This building hosts Computing Science lectures from 1000 to 1200.
James Watt Building,{55.8708777 -4.2893462},0900-1700,The James Watt Engineering Buildings are named after the famous engineer and mathematical instrument maker to the University from 1756 to 1764. The building was opened by Lord Kelvin on Thursday 3 September 1901 as part of the International Engineering Congress hosted by the University. The James Watt Nanofabrication Centre (JWNC) is located in the James Watt Building and was built in 2005 to house all the micro and nanofabrication facilities at the University of Glasgow in a single clean room. The clean room houses over £25M of nanofabrication tools. This building hosts Engineering lectures every day from 1000 to 1300.
Adam Smith Building,{55.8737694 -4.2920551},0900-1700,The Adam Smith Building (named in honour of the moral philosopher and political economist) was designed by David Harvey and formally opened on 2 November 1967. The mosaic mural at the foot of the main staircase was the work of George Garson- the head of the Mural Design and Stained Glass department at the Glasgow School of Art. This building hosts Business lectures from 1000 to 1100.
Main Building,{55.8714732 -4.2927198},0900-1700,This section of the university hosts Philosophy lectures from 0900 to 1100 Veterinary Medicine lectures from 1000 until 1200 and mathematics lectures from 1100 until 1300.
Wolfson Medical Building,{55.8729239 -4.295317},0900-1700,The Wolfson Medical School Building was designed by Reiach and Hall in 1999 and was officially opened in 2003. It was named the Wolfson Medical School to mark the major gift from the Wolfson Foundation towards the £17.5m cost of the project. The roof was designed by Arup Façade Engineering and constructed using 16m-long structural laminated glass beams – believed to be the first use of glass engineering on this scale. The Princess Royal opened the building formally on 3 April 2003 and in the same year the building won a Royal Institute of British Architects’ Award. This building hosts Medicine lectures from 1300 to 1500.
Glasgow University Union,{55.8723758 -4.285949},0900-2300,Glasgow University Union was founded in 1885. Before the 1920s the union was accommodated in the John McIntyre Building- which opened in 1890. The premises became too cramped for the growing number of students at the University. This is a great location for students to unwind.
The Hive,{55.8728276 -4.2844698},2200-0200,An extension to the Union (called 'The Hive') was designed by Richard De'Ath of Keppie and opened in 1965. A further beer bar extension was designed by the same architects and was opened in late 1969. In 2014 work began to demolish and replace the Glasgow University Union's Hive nightclub led by Heron Bros Ltd as part of an extensive refurbishment of the Sports & Recreation centre of the Stevenson Building. This is a great location for students to have a night out. Entry into this club is strictly over 18s only- a rule which is strictly enforced as it would be illegal for under 18s to attend.
Sir Alwyn Williams Building,{55.8739511 -4.2940459},0900-1700,The Sir Alwyn Williams Building is located on the corner between Lilybank Gardens and University Gardens and is named for Sir Alwyn Williams (1921-2004)- Principal and Vice Chancellor of the University from 1976 to 1988. A Computing Science building had been under consideration since the 1970s when the Computing Science department was temporarily housed in townhouses on Lilybank Terrace. The Sir Alwyn Williams Building was opened on 22 June 2007 by Professor Anne Glover (Chief Scientific Advisor for Scotland) and Lady Joan Williams (the widow of Principal Sir Alwyn Williams).
Library,{55.8739571 -4.2940459},0700-0200,The new Library building on Hillhead Street was designed by William Whitfield and completed 1968 under the stewardship of University Librarian Robert Ogilvie MacKenna to replace the outgrown library accommodation in the north west Arts Quadrangle- now the Kelvin Gallery. 
Queen Margaret Union,{55.8735992 -4.2935842},0800-2300,The Queen Margaret Union (QMU) on 22 University Gardens was designed by Walter Underwood & Partners and opened in 1968. A society for the students of Queen Margaret College was founded in 1890 and had the use of a basement room within the College building of North Park House.
St Andrews Building,{55.8717345 -4.2818099},0900-1700,The St Andrew's Building was originally built in 1913 by Walter Robert Watson of Cowan & Watson for the Glasgow & West of Scotland College of Domestic Science- established in 1908. The college was renamed Queens College in 1975 and the building was acquired from Glasgow Caledonian University by the University in 1998. In 2003 the St Andrew's Building was officially opened by Deputy First Minister Jim Wallace to house the Faculty- now School of Education. This building hosts English Literature lectures from 0900 to 1200.
Kelvingrove Park,{55.8689911 -4.2847528},0000-0000,This is a park. This is a great location for students to unwind in between lectures. There is a skate park grass a pond a statue up a hill and the Stewart Memorial Fountain.
Joseph Black Building,{55.8721791 -4.2925265},0900-1700,The School of Chemistry was originally housed in an isolated octagonal structure located outside the south-east corner of the Main Building. Although the first two blocks were largely complete in 1939 the official opening ceremony was abandoned following the declaration of war on 3 September. The entire Chemistry building was finally officially opened on 19 March 1954. The building was renamed the Joseph Black Building in 1997. A pioneering Chemist and University lecturer from 1756-1766 he first identified carbon dioxide and carried out pioneering research on latent and specific heat. This building hosts Chemistry lectures from 1000 to 1100.
Kelvin Building,{55.8721791 -4.2925265},0900-1700,The Kelvin Building (originally known as the Natural Philosophy Building) was named after Lord Kelvin and was designed by Scottish architect James Miller. The Kelvin Building and the West Medical Building were constructed of Giffnock sandstone to match the main buildings and roofed with blue Westmoreland slates. This building hosts Physics lectures from 0900 to 1100.
